Codigo IBGE do Municipio;Codigo da Unidade da Federacao;Sigla da Unidade da Federacao;Nome das Grandes Regioes;Codigo IBGE da Mesoregiao;Nome da Mesoregiao;Codigo IBGE da Microregiao;Nome da Microregiao;area da unidade territorial;Estabelecimentos de Saude SUS;indice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matricula - Ensino fundamental - 2012;Matricula - Ensino medio - 2012;Numero de unidades locais;Pessoal ocupado total;PIB per capita a preços correntes;Populacao residente;Populacao residente - Homens;Populacao residente - Mulheres;Populacao residente alfabetizada;Populacao residente que frequentava creche ou escola;Populacao residente, religiao catolica apostolica romana;Populacao residente, religiao espirita;Populacao residente, religiao evangelicas;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Urbana;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Rural;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Urbana
330080;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33016;Macacu-Caceribu;953,801;32;0,7;8703;2029;1042;9741;16987,64;54273;27062;27211;45544;15261;17628;353;20907;340;510;1230,96;1949,43
330090;33;RJ;Sudeste;3301;Noroeste Fluminense;33002;Santo Antonio de Padua;561,7;8;0,691;1869;528;266;1713;10809,38;14827;7407;7420;12317;3763;8997;71;4104;350;410;1197,9;1587,65
330093;33;RJ;Sudeste;3302;Norte Fluminense;33004;Macau;308,13;9;0,713;1880;520;131;2591;83859,53;13359;6788;6571;11263;3752;5351;82;5022;383,33;510;1564,93;2162,29
330095;33;RJ;Sudeste;3303;Centro Fluminense;33005;Tres Rios;106,887;10;0,685;1455;309;560;4432;15629,23;8180;4076;4104;7053;2310;4898;147;2246;510;508;1693,59;1774,67
330100;33;RJ;Sudeste;3302;Norte Fluminense;33003;Campos dos Goytacazes;4026,696;110;0,716;73959;15612;10478;106196;54607,81;463731;223259;240472;397520;145898;232568;10956;144025;266,67;466,67;1104,87;2371,91
330110;33;RJ;Sudeste;3303;Centro Fluminense;33006;Cantagalo-Cordeiro;749,279;28;0,709;2828;619;648;4542;28420,3;19830;9831;9999;16758;5784;13266;197;4369;370;510;1457,01;2205,04
330115;33;RJ;Sudeste;3302;Norte Fluminense;33003;Campos dos Goytacazes;524,631;11;0,648;2102;360;213;1700;9537,31;12600;6270;6330;10059;3481;4052;114;4857;266,67;406,67;896,69;1552,49
330120;33;RJ;Sudeste;3303;Centro Fluminense;33006;Cantagalo-Cordeiro;321,943;17;0,696;2571;550;456;3203;22517,67;17434;8600;8834;14650;4766;10762;797;4070;400;460;1484,89;1737,81
330130;33;RJ;Sudeste;3304;Baixadas;33009;Bacia de Sao Joao;460,771;16;0,726;6048;2097;976;7164;48517,35;35347;17423;17924;30185;10513;11589;689;14420;500;570,67;2175,68;2419,98
330140;33;RJ;Sudeste;3302;Norte Fluminense;33004;Macau;347,272;13;0,712;3359;874;464;2541;8727,37;21211;10549;10662;17746;6372;9576;106;7580;340;506,67;1464,01;2034,45
330150;33;RJ;Sudeste;3303;Centro Fluminense;33006;Cantagalo-Cordeiro;116,349;14;0,729;3005;800;865;5245;10339,48;20430;9781;10649;17944;5924;12290;328;5984;305;510;1351,83;2278,57
330160;33;RJ;Sudeste;3303;Centro Fluminense;33007;Nova Friburgo;375,126;10;0,659;1726;243;273;1615;14571,11;10930;5511;5419;9036;3161;7593;82;2145;354;500;1378,93;1796,01
330170;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;467,619;82;0,711;131810;36447;14291;204043;30988,8;855048;411074;443974;744587;262968;299971;19178;314459;255;478,2;1489,85;1900,47
330180;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33014;Vassouras;132,94;12;0,722;1753;769;229;1958;11138,21;13237;6449;6788;11833;3357;6149;208;4141;340;500;1531,24;1653,42
330185;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;360,766;11;0,698;7459;1540;1107;5983;9425,08;51483;25280;26203;43618;15387;18434;922;17352;334;452,5;1314,64;2005,83
330187;33;RJ;Sudeste;3304;Baixadas;33010;Lagos;51,945;14;0,761;3785;1115;359;2951;10326,53;22851;11046;11805;20525;6492;9194;930;7369;.;510;.;2438,61
